number,measure_type,title,subject,year,meeting_name,status,status_details,category,topics,attachments,final_report_par,memo,approvals,approvals_text,url,text_file
M1,Measure,"Measure 1 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Managed Area No 1 (Admiralty Bay, King George Island): Revised Management Plan",2023,ATCM XLV - CEP XXV,Effective,Effective 06/11/2023 (Fast Approval),Area protection and management,Admiralty Bay (ASMA 1),"ASMA No 1 (Admiralty Bay, King George Island): Revised Management Plan | https://documents.ats.aq/recatt/att737_e.pdf",88,,,Fast Approval: Entered into effect on 6 Nov 2023,https://www.ats.aq/devAS/Meetings/Measure/781?s=1&iframe=1&from=06/08/2023&to=06/08/2023&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2023/Measure_M1.txt
M2,Measure,"Measure 2 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 108 (Green Island, Berthelot Islands, Antarctic Peninsula): Revised Management Plan",2023,ATCM XLV - CEP XXV,Effective,Effective 06/11/2023 (Fast Approval),Area protection and management,Green Island (ASPA 108),"ASPA No 108 (Green Island, Berthelot Islands, Antarctic Peninsula): Revised Management Plan | https://documents.ats.aq/recatt/att738_e.pdf",88,,,Fast Approval: Entered into effect on 6 Nov 2023,https://www.ats.aq/devAS/Meetings/Measure/782?s=1&iframe=1&from=06/08/2023&to=06/08/2023&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2023/Measure_M2.txt
M3,Measure,"Measure 3 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 117 (Avian Island, Marguerite Bay, Antarctic Peninsula): Revised Management Plan",2023,ATCM XLV - CEP XXV,Effective,Effective 06/11/2023 (Fast Approval),Area protection and management,Avian Island (ASPA 117),"ASPA No 117 (Avian Island, Marguerite Bay, Antarctic Peninsula): Revised Management Plan | https://documents.ats.aq/recatt/att739_e.pdf",88,,,Fast Approval: Entered into effect on 6 Nov 2023,https://www.ats.aq/devAS/Meetings/Measure/783?s=1&iframe=1&from=06/08/2023&to=06/08/2023&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2023/Measure_M3.txt
M4,Measure,"Measure 4 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan",2023,ATCM XLV - CEP XXV,Effective,Effective 06/11/2023 (Fast Approval),Area protection and management,Arrival Heights (ASPA 122),"ASPA No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan | https://documents.ats.aq/recatt/att740_e.pdf",88,,,Fast Approval: Entered into effect on 6 Nov 2023,https://www.ats.aq/devAS/Meetings/Measure/784?s=1&iframe=1&from=06/08/2023&to=06/08/2023&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2023/Measure_M4.txt
M5,Measure,"Measure 5 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 123 (Barwick and Balham Valleys, Southern Victoria Land): Revised Management Plan",2023,ATCM XLV - CEP XXV,Effective,Effective 06/11/2023 (Fast Approval),Area protection and management,Barwick Valley (ASPA 123),"ASPA No 123 (Barwick and Balham Valleys, Southern Victoria Land): Revised Management Plan | https://documents.ats.aq/recatt/att741_e.pdf",88,,,Fast Approval: Entered into effect on 6 Nov 2023,https://www.ats.aq/devAS/Meetings/Measure/785?s=1&iframe=1&from=06/08/2023&to=06/08/2023&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2023/Measure_M5.txt
M6,Measure,"Measure 6 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands): Revised Management Plan",2023,ATCM XLV - CEP XXV,Effective,Effective 06/11/2023 (Fast Approval),Area protection and management,Potter Peninsula (ASPA 132),"ASPA No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands): Revised Management Plan | https://documents.ats.aq/recatt/att742_e.pdf",88,,,Fast Approval: Entered into effect on 6 Nov 2023,https://www.ats.aq/devAS/Meetings/Measure/786?s=1&iframe=1&from=06/08/2023&to=06/08/2023&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2023/Measure_M6.txt
M7,Measure,"Measure 7 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 137 (Northwest White Island, McMurdo Sound): Revised Management Plan",2023,ATCM XLV - CEP XXV,Effective,Effective 06/09/2023 (Fast Approval),Area protection and management,White Island (ASPA 137),"ASPA No 137 (Northwest White Island, McMurdo Sound): Revised Management Plan . Replaced by M5 (2024) | https://documents.ats.aq/recatt/att743_e.pdf",88,,,Fast Approval: Entered into effect on 6 Sep 2023,https://www.ats.aq/devAS/Meetings/Measure/787?s=1&iframe=1&from=06/08/2023&to=06/08/2023&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2023/Measure_M7.txt
M8,Measure,"Measure 8 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 138 (Linnaeus Terrace, Asgard Range, Victoria Land): Revised Management Plan",2023,ATCM XLV - CEP XXV,Effective,Effective 06/11/2023 (Fast Approval),Area protection and management,Linnaeus Terrace (ASPA 138),"ASPA No 138 (Linnaeus Terrace, Asgard Range, Victoria Land): Revised Management Plan | https://documents.ats.aq/recatt/att744_e.pdf",88,,,Fast Approval: Entered into effect on 6 Nov 2023,https://www.ats.aq/devAS/Meetings/Measure/788?s=1&iframe=1&from=06/08/2023&to=06/08/2023&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2023/Measure_M8.txt
M9,Measure,"Measure 9 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 144 (Chile Bay (Discovery Bay), Greenwich Islands, South Shetland Islands): Revoked Management Plan",2023,ATCM XLV - CEP XXV,Effective,Effective 06/11/2023 (Fast Approval),Area protection and management,Chile Bay (ASPA 144),,88,,,Fast Approval: Entered into effect on 6 Nov 2023,https://www.ats.aq/devAS/Meetings/Measure/789?s=1&iframe=1&from=06/08/2023&to=06/08/2023&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2023/Measure_M9.txt
M10,Measure,"Measure 10 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 145 (Port Foster, Deception Island, South Shetland Islands): Revised Management Plan",2023,ATCM XLV - CEP XXV,Effective,Effective 06/11/2023 (Fast Approval),Area protection and management,Port Foster (ASPA 145),"ASPA No 145 (Port Foster, Deception Island, South Shetland Islands): Revised Management Plan | https://documents.ats.aq/recatt/att745_e.pdf",88,,,Fast Approval: Entered into effect on 6 Nov 2023,https://www.ats.aq/devAS/Meetings/Measure/790?s=1&iframe=1&from=06/08/2023&to=06/08/2023&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2023/Measure_M10.txt
